run,train_set,train_size,aug,epochs,model,initialization
1,MCF10A,1X,Full,1X,MRCNN,Pre-initialized
2,MCF10A,1X,Full,1X,Kaggle_5th,Random
3,MCF10A,1X,Full,1X,MRCNN,Random
4,MCF10A,1X,Full,1X,FPN2-WS,Random
5,MCF10A,1X,Full,1X,FPN2-WS,Pre-initialized
6,All,1X,Full,1X,MRCNN,Pre-initialized
7,All,1X,Full,1X,Kaggle_5th,Pre-initialized
8,All,1X,Full,1X,MRCNN,Random
9,All,1X,Full,1X,FPN2-WS,Random
10,All,1X,Full,1X,FPN2-WS,Pre-initialized
11,All,2X,Full,1X,FPN2-WS,Pre-initialized
12,All,1X,Full,0.5X,FPN2-WS,Pre-initialized
13,All,2X,Full,1X,FPN2-WS,Pre-initialized
14,All,1X,Full,0.5X,FPN2-WS,Pre-initialized
15,Eosinophils,0.25X,Full,1X,MRCNN,Pre-initialized
16,All,1X,Full,0.25X,MRCNN,Pre-initialized
17,All,1X,Full,0.5X,MRCNN,Pre-initialized
18,All,1X,Full,0.75X,MRCNN,Pre-initialized
19,All,0.5X,Full,1X,MRCNN,Pre-initialized
20,All,2X,Full,1X,MRCNN,Pre-initialized
21,BBBC038,1X,Full,1X,Kaggle_5th,Pre-initialized
22,All,1X,Min_Contr,1X,MRCNN,Pre-initialized
23,All,1X,Min_Blur,1X,MRCNN,Pre-initialized
24,All,1X,Min_Noise,1X,MRCNN,Pre-initialized
25,All,1X,Min_Scaling,1X,MRCNN,Pre-initialized
26,All,1X,Full,1X,MRCNN,Pre-initialized
27,All,1X,None,1X,MRCNN,Pre-initialized
28,Eosinophils,1X,Full,1X,MRCNN,Pre-initialized
29,MCF10A_HCT116,1X,Full,1X,MRCNN,Pre-initialized
30,MCF10A_HCT116_U2OS,1X,Full,1X,MRCNN,Pre-initialized
31,MCF10A,1X,Full,1X,MRCNN,Pre-initialized
32,All,1X,Full,1X,MRCNN,Pre-initialized
33,All,1X,Full,1X,MRCNN,Pre-initialized
34,All,1X,Full,1X,MRCNN,Random
35,All,1X,Full,1X,MRCNN,Random
36,All,1X,Full,1X,MRCNN,Random
37,All,1X,None,1X,MRCNN,Pre-initialized
38,All,1X,None,1X,MRCNN,Pre-initialized
39,All,1X,None,1X,MRCNN,Pre-initialized
40,All,1X,None,1X,MRCNN,Random
41,All,1X,None,1X,MRCNN,Random
42,All,1X,None,1X,MRCNN,Random
43,All,1X,None,1X,MRCNN,Random
44,BBBC038,1X,Full,1X,Jacobkie,Random
45,All,0.25X,Full,1X,MRCNN,Pre-initialized
46,All,0.125X,Full,1X,MRCNN,Pre-initialized
47,All,0.5X,Full,1X,FPN2-WS,Pre-initialized
48,All,0.25X,Full,1X,FPN2-WS,Pre-initialized
49,All,0.125X,Full,1X,FPN2-WS,Pre-initialized
50,All,1X,Full,1X,FPN2-WS,Random
51,All,1X,Full,1X,FPN2-WS,Random
52,All,1X,Full,1X,FPN2-WS,Random
53,All,1X,Full,1X,FPN2-WS,Random
54,All,1X,None,1X,FPN2-WS,Random
55,All,1X,None,1X,FPN2-WS,Random
56,All,1X,None,1X,FPN2-WS,Random
57,All,1X,None,1X,FPN2-WS,Random
58,All,1X,Full,1X,FPN2-WS,Pre-initialized
59,All,1X,Full,1X,FPN2-WS,Pre-initialized
60,All,1X,Full,1X,FPN2-WS,Pre-initialized
61,All,1X,None,1X,FPN2-WS,Pre-initialized
62,All,1X,None,1X,FPN2-WS,Pre-initialized
63,All,1X,None,1X,FPN2-WS,Pre-initialized
64,All,1X,None,1X,FPN2-WS,Pre-initialized
65,MCF10A_HCT116,1X,Full,1X,FPN2-WS,Pre-initialized
66,MCF10A_HCT116_U2OS,1X,Full,1X,FPN2-WS,Pre-initialized
67,All,1X,Full,0.75X,FPN2-WS,Pre-initialized
68,All,1X,Full,0.25X,FPN2-WS,Pre-initialized
69,All,1X,Min_Contr,1X,FPN2-WS,Pre-initialized
70,All,1X,Min_Blur,1X,FPN2-WS,Pre-initialized
71,All,1X,Min_Noise,1X,FPN2-WS,Pre-initialized
72,All,1X,Min_Scaling,1X,FPN2-WS,Pre-initialized
73,All,1X,Full,1X,MRCNN,Random
74,All,1X,Full,1X,MRCNN,Random
75,All,1X,Full,1X,MRCNN,Random
76,All,1X,Full,1X,MRCNN,Random
77,All,1X,Full,1X,MRCNN,Random
78,All,1X,Full,1X,MRCNN,Random
79,All,1X,Full,1X,MRCNN,Random
80,All,1X,Full,1X,MRCNN,Random
81,All,1X,Full,1X,MRCNN,Random
82,All,1X,Full,1X,MRCNN,Random
83,All,1X,Full,1X,MRCNN,Random
84,CellPose,1X,Full,1X,CellPose,Random